tree_type,scenario_family,is_ordered_prehashed,scale_size,scale_label,first_bucket_ns,last_bucket_ns,last_over_first_ratio
avlhashtree,build_then_add_new,False,10000,10K,2221.0,2147.5,0.9669067987393066
avlhashtree,build_then_add_new,False,50000,50K,2683.0,2632.5,0.9811777860603802
avlhashtree,build_then_add_new,False,100000,100K,3064.5,2884.5,0.9412628487518355
avlhashtree,build_then_add_new,False,200000,200K,3325.5,3193.5,0.9603067207938656
avlhashtree,build_then_add_new,False,300000,300K,3762.0,3610.0,0.9595959595959596
avlhashtree,build_then_add_new,False,500000,500K,4775.0,4086.5,0.8558115183246073
avlhashtree,build_then_add_new,False,700000,700K,4994.0,4504.0,0.9018822587104526
avlhashtree,build_then_add_new,False,900000,900K,5582.0,4743.0,0.8496954496596202
avlhashtree,build_then_add_new,False,1000000,1M,5475.5,4891.5,0.8933430736919002
avlhashtree,build_then_add_new,False,2000000,2M,6065.5,5555.5,0.9159178962987388
avlhashtree,build_then_add_new,False,5000000,5M,6928.0,6645.5,0.9592234411085451
avlhashtree,build_then_add_new,False,10000000,10M,7621.5,7315.0,0.9597848192613002
avlhashtree,build_then_add_new,False,25000000,25M,8868.0,8766.0,0.9884979702300406
avlhashtree,build_then_reinsert_existing,False,10000,10K,1362.5,1723.0,1.2645871559633028
avlhashtree,build_then_reinsert_existing,False,50000,50K,1776.0,2041.5,1.1494932432432432
avlhashtree,build_then_reinsert_existing,False,100000,100K,1932.5,2266.5,1.1728331177231566
avlhashtree,build_then_reinsert_existing,False,200000,200K,2161.0,2629.0,1.2165664044423878
avlhashtree,build_then_reinsert_existing,False,300000,300K,2420.0,3031.0,1.2524793388429751
avlhashtree,build_then_reinsert_existing,False,500000,500K,3018.0,3316.0,1.0987408880053016
avlhashtree,build_then_reinsert_existing,False,700000,700K,3029.5,3577.5,1.1808879353028552
avlhashtree,build_then_reinsert_existing,False,900000,900K,3321.5,3868.0,1.1645340960409454
avlhashtree,build_then_reinsert_existing,False,1000000,1M,3359.5,3901.0,1.1611847001041822
avlhashtree,build_then_reinsert_existing,False,2000000,2M,3737.0,4640.5,1.2417714744447417
avlhashtree,build_then_reinsert_existing,False,5000000,5M,4301.0,5493.5,1.2772611020692861
avlhashtree,build_then_reinsert_existing,False,10000000,10M,4801.5,6347.0,1.3218785796105383
avlhashtree,build_then_reinsert_existing,False,25000000,25M,5743.0,7633.5,1.3291833536479192
avlhashtree,insert_only_build,False,10000,10K,1751.5,2350.5,1.3419925777904653
avlhashtree,insert_only_build,True,10000,10K,1523.0,2029.5,1.3325673013788575
avlhashtree,insert_only_build,False,50000,50K,2044.0,2502.0,1.2240704500978474
avlhashtree,insert_only_build,True,50000,50K,1784.0,2298.5,1.288396860986547
avlhashtree,insert_only_build,False,100000,100K,2031.5,2739.5,1.348510952498154
avlhashtree,insert_only_build,True,100000,100K,2023.0,2415.5,1.1940187839841818
avlhashtree,insert_only_build,False,200000,200K,2166.0,3043.5,1.4051246537396123
avlhashtree,insert_only_build,True,200000,200K,2063.5,2534.5,1.2282529682578145
avlhashtree,insert_only_build,False,300000,300K,2213.0,3375.5,1.525305015815635
avlhashtree,insert_only_build,True,300000,300K,2102.5,2655.5,1.2630202140309155
avlhashtree,insert_only_build,False,500000,500K,2339.5,3994.0,1.7072023936738618
avlhashtree,insert_only_build,True,500000,500K,2195.5,2670.5,1.2163516283306763
avlhashtree,insert_only_build,False,700000,700K,2405.0,4123.5,1.7145530145530146
avlhashtree,insert_only_build,True,700000,700K,2235.0,2770.0,1.2393736017897092
avlhashtree,insert_only_build,False,900000,900K,2479.5,4540.5,1.8312159709618874
avlhashtree,insert_only_build,True,900000,900K,2292.5,2771.0,1.2087241003271538
avlhashtree,insert_only_build,False,1000000,1M,2504.5,4468.0,1.7839888201237772
avlhashtree,insert_only_build,True,1000000,1M,2303.0,2771.5,1.2034303082935303
avlhashtree,insert_only_build,False,2000000,2M,2738.5,5183.0,1.892641957275881
avlhashtree,insert_only_build,True,2000000,2M,2425.5,2885.0,1.189445475159761
avlhashtree,insert_only_build,False,5000000,5M,3197.0,6302.5,1.9713794182045667
avlhashtree,insert_only_build,True,5000000,5M,2574.5,3110.5,1.208195766168188
avlhashtree,insert_only_build,False,10000000,10M,3720.0,7154.0,1.9231182795698925
avlhashtree,insert_only_build,True,10000000,10M,2650.5,3223.5,1.216185625353707
avlhashtree,insert_only_build,False,25000000,25M,4610.0,8572.0,1.8594360086767896
avlhashtree,insert_only_build,True,25000000,25M,2807.5,3478.5,1.2390026714158504
smt,build_then_add_new,False,10000,10K,2877.0,2279.5,0.7923183872088981
smt,build_then_add_new,False,50000,50K,3747.5,3052.0,0.8144096064042695
smt,build_then_add_new,False,100000,100K,4398.5,3619.0,0.8227804933500057
smt,build_then_add_new,False,200000,200K,5694.0,4019.0,0.705830698981384
smt,build_then_add_new,False,300000,300K,5741.5,4390.0,0.764608551772185
smt,build_then_add_new,False,500000,500K,6526.0,4758.0,0.7290836653386454
smt,build_then_add_new,False,700000,700K,6399.0,5398.0,0.8435693077043288
smt,build_then_add_new,False,900000,900K,6965.5,5344.0,0.7672098198262867
smt,build_then_add_new,False,1000000,1M,6713.0,5706.5,0.8500670341129153
smt,build_then_add_new,False,2000000,2M,7043.5,6234.5,0.8851423298076241
smt,build_then_add_new,False,5000000,5M,7855.0,7035.0,0.8956078930617442
smt,build_then_add_new,False,10000000,10M,8604.5,8038.5,0.9342204660352141
smt,build_then_add_new,False,25000000,25M,10377.5,10114.0,0.9746085280655263
smt,build_then_reinsert_existing,False,10000,10K,3009.5,2102.0,0.698454892839342
