tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_size,scale_label,final_scale,prebuild_scale,measured_insert_scale,bucket_start_pct,bucket_end_pct,bucket_mid_pct,run_count,avg_duration_ns,avg_duration_ns_p10,avg_duration_ns_p90,sample_count,sample_count_p10,sample_count_p90
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,0,10,5.0,10,1751.5,1683.5,1917.6999999999998,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,0,10,5.0,10,1523.0,1470.7,1613.6999999999998,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,0,10,5.0,10,2221.0,2127.5,2469.2999999999997,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,0,10,5.0,10,1362.5,1332.5,1559.2999999999995,200,200,200
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,10,20,15.0,10,1956.0,1791.6,2005.6,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,10,20,15.0,10,1722.5,1682.1,1783.3,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,10,20,15.0,10,2093.0,2060.0,2387.5,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,10,20,15.0,10,1537.0,1481.9,1847.8999999999996,200,200,200
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,20,30,25.0,10,2079.5,1872.7,2127.6,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,20,30,25.0,10,1833.0,1816.5,1855.3,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,20,30,25.0,10,2167.0,2035.5,2414.0,200,200,200
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10000,10K,10000,10000,2000,20,30,25.0,10,1558.5,1503.9,1706.3999999999999,200,200,200
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10000,10K,10000,0,10000,30,40,35.0,10,2152.5,1938.0,2197.1,1000,1000,1000
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10000,10K,10000,0,10000,30,40,35.0,10,1818.0,1772.6,1865.2,1000,1000,1000
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10000,10K,12000,10000,2000,30,40,35.0,10,2156.0,2051.8,2335.9,200,200,200
