tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_label,run_count,run_ids,raw_scenarios,schema_variants,missing_optional_columns,coverage_note
avlhashtree,build_10k_then_add_2k_new,build_then_add_new,build_then_add_new,False,10K,10,total_ref_5_avl,build_10k_then_add_2k_new,current,,multiple_rows_within_run
avlhashtree,build_10k_then_reinsert_2k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10K,10,total_ref_5_avl,build_10k_then_reinsert_2k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,10K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_10k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_10k,insert_only_build,insert_only_build,False,10K,10,total_ref_5_avl,insert_only_build_10k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_10k,insert_only_build,prehashed_ordered_insert_only,True,10K,10,total_ref_5_avl,prehashed_ordered_insert_only_10k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_10k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,10K,10,total_ref_5_avl,proof_only_after_10k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50K,10,total_ref_5_avl,build_50k_then_add_10k_new,current,,multiple_rows_within_run
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50K,10,total_ref_5_avl,build_50k_then_reinsert_10k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,50K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_50k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50K,10,total_ref_5_avl,insert_only_build_50k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50K,10,total_ref_5_avl,prehashed_ordered_insert_only_50k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_50k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,50K,10,total_ref_5_avl,proof_only_after_50k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100K,10,total_ref_5_avl,build_100k_then_add_20k_new,current,,multiple_rows_within_run
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100K,10,total_ref_5_avl,build_100k_then_reinsert_20k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,100K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_100k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100K,10,total_ref_5_avl,insert_only_build_100k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100K,10,total_ref_5_avl,prehashed_ordered_insert_only_100k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_100k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,100K,10,total_ref_5_avl,proof_only_after_100k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200K,10,total_ref_5_avl,build_200k_then_add_40k_new,current,,multiple_rows_within_run
avlhashtree,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200K,10,total_ref_5_avl,build_200k_then_reinsert_40k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,200K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_200k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200K,10,total_ref_5_avl,insert_only_build_200k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200K,10,total_ref_5_avl,prehashed_ordered_insert_only_200k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_200k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,200K,10,total_ref_5_avl,proof_only_after_200k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_300k_then_add_60k_new,build_then_add_new,build_then_add_new,False,300K,10,total_ref_5_avl,build_300k_then_add_60k_new,current,,multiple_rows_within_run
avlhashtree,build_300k_then_reinsert_60k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,300K,10,total_ref_5_avl,build_300k_then_reinsert_60k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,300K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_300k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_300k,insert_only_build,insert_only_build,False,300K,10,total_ref_5_avl,insert_only_build_300k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_300k,insert_only_build,prehashed_ordered_insert_only,True,300K,10,total_ref_5_avl,prehashed_ordered_insert_only_300k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_300k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,300K,10,total_ref_5_avl,proof_only_after_300k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_500k_then_add_100k_new,build_then_add_new,build_then_add_new,False,500K,10,total_ref_5_avl,build_500k_then_add_100k_new,current,,multiple_rows_within_run
avlhashtree,build_500k_then_reinsert_100k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,500K,10,total_ref_5_avl,build_500k_then_reinsert_100k_existing,current,,multiple_rows_within_run
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,500K,10,total_ref_7_exclusion_only_avl,exclusion_proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,insert_only_build_500k,insert_only_build,insert_only_build,False,500K,10,total_ref_5_avl,insert_only_build_500k,current,,multiple_rows_within_run
avlhashtree,prehashed_ordered_insert_only_500k,insert_only_build,prehashed_ordered_insert_only,True,500K,10,total_ref_5_avl,prehashed_ordered_insert_only_500k,current,,multiple_rows_within_run
avlhashtree,proof_only_after_500k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,500K,10,total_ref_5_avl,proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
avlhashtree,build_700k_then_add_140k_new,build_then_add_new,build_then_add_new,False,700K,10,total_ref_5_avl,build_700k_then_add_140k_new,current,,multiple_rows_within_run
avlhashtree,build_700k_then_reinsert_140k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,700K,10,total_ref_5_avl,build_700k_then_reinsert_140k_existing,current,,multiple_rows_within_run
