scenario_family,metric,scale_size,scale_label,measured_insert_scale,final_scale,sample_pct,avl_value,smt_value,ratio
insert_only_build,insert_avg_ns,10000,10K,10000,10000,,2272.0,2428.0,0.9357495881383855
insert_only_build,insert_avg_ns,50000,50K,50000,50000,,2494.0,2654.0,0.9397136397889977
insert_only_build,insert_avg_ns,100000,100K,100000,100000,,2519.0,2900.0,0.8686206896551724
insert_only_build,insert_avg_ns,200000,200K,200000,200000,,2719.0,3226.0,0.842839429634222
insert_only_build,insert_avg_ns,300000,300K,300000,300000,,2947.0,3474.0,0.8483016695451928
insert_only_build,insert_avg_ns,500000,500K,500000,500000,,3226.0,4101.0,0.786637405510851
insert_only_build,insert_avg_ns,700000,700K,700000,700000,,3451.0,4337.0,0.7957113211897625
insert_only_build,insert_avg_ns,900000,900K,900000,900000,,3704.0,4510.0,0.8212860310421286
insert_only_build,insert_avg_ns,1000000,1M,1000000,1000000,,3758.0,4609.0,0.8153612497287915
insert_only_build,insert_avg_ns,2000000,2M,2000000,2000000,,4410.0,5180.0,0.8513513513513513
insert_only_build,insert_avg_ns,5000000,5M,5000000,5000000,,5332.0,6014.0,0.8865979381443299
insert_only_build,insert_avg_ns,10000000,10M,10000000,10000000,,6090.0,6812.0,0.8940105695830887
insert_only_build,insert_avg_ns,25000000,25M,25000000,25000000,,7212.0,8200.0,0.8795121951219512
insert_only_build,insert_total_ns,10000,10K,10000,10000,,22721292.0,24286530.0,0.9355511882512652
insert_only_build,insert_total_ns,50000,50K,50000,50000,,124725310.0,132732580.0,0.9396736656516433
insert_only_build,insert_total_ns,100000,100K,100000,100000,,251984432.0,290048240.0,0.8687673195327784
insert_only_build,insert_total_ns,200000,200K,200000,200000,,543934366.0,645360728.0,0.8428377222234694
insert_only_build,insert_total_ns,300000,300K,300000,300000,,884208460.0,1042331251.0,0.8482989060835517
insert_only_build,insert_total_ns,500000,500K,500000,500000,,1613095704.0,2050793060.0,0.7865716612089569
insert_only_build,insert_total_ns,700000,700K,700000,700000,,2415850902.0,3036396656.0,0.7956308663514745
insert_only_build,insert_total_ns,900000,900K,900000,900000,,3334434746.0,4058907170.0,0.8215104722387627
insert_only_build,insert_total_ns,1000000,1M,1000000,1000000,,3757838079.0,4609596766.0,0.8152205647829109
insert_only_build,insert_total_ns,2000000,2M,2000000,2000000,,8819342646.0,10360796338.0,0.8512224696139954
insert_only_build,insert_total_ns,5000000,5M,5000000,5000000,,26662099648.0,30069303108.0,0.8866883130692341
insert_only_build,insert_total_ns,10000000,10M,10000000,10000000,,60899851110.0,68121923730.0,0.8939831375193609
insert_only_build,insert_total_ns,25000000,25M,25000000,25000000,,180333876454.0,205018929226.0,0.8795962262353407
proof_only_after_build,inclusion_proof_gen_avg_ns,10000,10K,0,10000,5,528.0,1362.0,0.3876651982378855
proof_only_after_build,inclusion_proof_gen_avg_ns,50000,50K,0,50000,5,546.0,1549.0,0.3524854744996772
proof_only_after_build,inclusion_proof_gen_avg_ns,100000,100K,0,100000,5,608.0,1988.0,0.3058350100603622
proof_only_after_build,inclusion_proof_gen_avg_ns,200000,200K,0,200000,5,781.0,2418.0,0.3229942100909843
proof_only_after_build,inclusion_proof_gen_avg_ns,300000,300K,0,300000,5,977.0,3272.0,0.2985941320293399
proof_only_after_build,inclusion_proof_gen_avg_ns,500000,500K,0,500000,5,1298.0,3584.0,0.36216517857142855
proof_only_after_build,inclusion_proof_gen_avg_ns,700000,700K,0,700000,5,1438.0,3619.0,0.3973473335175463
proof_only_after_build,inclusion_proof_gen_avg_ns,900000,900K,0,900000,5,1558.0,3910.0,0.39846547314578007
proof_only_after_build,inclusion_proof_gen_avg_ns,1000000,1M,0,1000000,5,1580.0,3815.0,0.41415465268676277
proof_only_after_build,inclusion_proof_gen_avg_ns,2000000,2M,0,2000000,3,1890.0,4214.0,0.4485049833887043
proof_only_after_build,inclusion_proof_gen_avg_ns,5000000,5M,0,5000000,3,2234.0,4712.0,0.4741086587436333
proof_only_after_build,inclusion_proof_gen_avg_ns,10000000,10M,0,10000000,2,2494.0,5227.0,0.4771379376315286
proof_only_after_build,inclusion_proof_gen_avg_ns,25000000,25M,0,25000000,2,3520.0,9414.0,0.3739111960909284
proof_only_after_build,inclusion_proof_verify_avg_ns,10000,10K,0,10000,5,3971.0,3083.0,1.2880311385014596
proof_only_after_build,inclusion_proof_verify_avg_ns,50000,50K,0,50000,5,4123.0,3550.0,1.1614084507042253
proof_only_after_build,inclusion_proof_verify_avg_ns,100000,100K,0,100000,5,4382.0,4136.0,1.059477756286267
proof_only_after_build,inclusion_proof_verify_avg_ns,200000,200K,0,200000,5,4686.0,4604.0,1.017810599478714
proof_only_after_build,inclusion_proof_verify_avg_ns,300000,300K,0,300000,5,4938.0,5020.0,0.9836653386454183
proof_only_after_build,inclusion_proof_verify_avg_ns,500000,500K,0,500000,5,5322.0,5282.0,1.0075728890571753
proof_only_after_build,inclusion_proof_verify_avg_ns,700000,700K,0,700000,5,5374.0,5040.0,1.0662698412698413
proof_only_after_build,inclusion_proof_verify_avg_ns,900000,900K,0,900000,5,5456.0,5472.0,0.9970760233918129
proof_only_after_build,inclusion_proof_verify_avg_ns,1000000,1M,0,1000000,5,5532.0,5416.0,1.0214180206794683
proof_only_after_build,inclusion_proof_verify_avg_ns,2000000,2M,0,2000000,3,6136.0,5884.0,1.042828008157716
proof_only_after_build,inclusion_proof_verify_avg_ns,5000000,5M,0,5000000,3,6542.0,6413.0,1.0201153906128178
proof_only_after_build,inclusion_proof_verify_avg_ns,10000000,10M,0,10000000,2,6659.0,7518.0,0.8857408885341846
proof_only_after_build,inclusion_proof_verify_avg_ns,25000000,25M,0,25000000,2,9102.0,8534.0,1.066557300210921
proof_only_after_build,inclusion_proof_size_bytes,10000,10K,0,10000,5,1578.0,632.0,2.4968354430379747
proof_only_after_build,inclusion_proof_size_bytes,50000,50K,0,50000,5,1855.0,721.0,2.5728155339805827
proof_only_after_build,inclusion_proof_size_bytes,100000,100K,0,100000,5,1976.0,758.0,2.6068601583113455
proof_only_after_build,inclusion_proof_size_bytes,200000,200K,0,200000,5,2098.0,796.0,2.635678391959799
proof_only_after_build,inclusion_proof_size_bytes,300000,300K,0,300000,5,2168.0,819.0,2.647130647130647
proof_only_after_build,inclusion_proof_size_bytes,500000,500K,0,500000,5,2257.0,847.0,2.66469893742621
proof_only_after_build,inclusion_proof_size_bytes,700000,700K,0,700000,5,2316.0,865.0,2.677456647398844
proof_only_after_build,inclusion_proof_size_bytes,900000,900K,0,900000,5,2360.0,879.0,2.6848691695108076
proof_only_after_build,inclusion_proof_size_bytes,1000000,1M,0,1000000,5,2380.0,884.0,2.6923076923076925
proof_only_after_build,inclusion_proof_size_bytes,2000000,2M,0,2000000,3,2499.0,922.0,2.710412147505423
proof_only_after_build,inclusion_proof_size_bytes,5000000,5M,0,5000000,3,2663.0,973.0,2.736896197327852
proof_only_after_build,inclusion_proof_size_bytes,10000000,10M,0,10000000,2,2780.0,1011.0,2.7497527200791296
proof_only_after_build,inclusion_proof_size_bytes,25000000,25M,0,25000000,2,2944.0,1061.0,2.774740810556079
build_then_add_new,insert_avg_ns,10000,10K,2000,12000,,2179.0,2468.0,0.88290113452188
build_then_add_new,insert_avg_ns,50000,50K,10000,60000,,2574.0,3307.0,0.7783489567583913
build_then_add_new,insert_avg_ns,100000,100K,20000,120000,,2932.0,3822.0,0.7671376242804814
build_then_add_new,insert_avg_ns,200000,200K,40000,240000,,3189.0,4517.0,0.7059995572282488
build_then_add_new,insert_avg_ns,300000,300K,60000,360000,,3746.0,4687.0,0.7992319180712609
build_then_add_new,insert_avg_ns,500000,500K,100000,600000,,4156.0,5248.0,0.791920731707317
build_then_add_new,insert_avg_ns,700000,700K,140000,840000,,4542.0,5742.0,0.7910135841170324
build_then_add_new,insert_avg_ns,900000,900K,180000,1080000,,4859.0,5688.0,0.854254571026723
build_then_add_new,insert_avg_ns,1000000,1M,200000,1200000,,5051.0,5950.0,0.8489075630252101
build_then_add_new,insert_avg_ns,2000000,2M,400000,2400000,,5669.0,6560.0,0.8641768292682926
build_then_add_new,insert_avg_ns,5000000,5M,1000000,6000000,,6603.0,7364.0,0.8966594242259641
build_then_add_new,insert_avg_ns,10000000,10M,2000000,12000000,,7322.0,8344.0,0.87751677852349
build_then_add_new,insert_avg_ns,25000000,25M,5000000,30000000,,8673.0,10202.0,0.850127425994903
build_then_reinsert_existing,insert_avg_ns,10000,10K,2000,10000,,1635.0,2351.0,0.6954487452148023
build_then_reinsert_existing,insert_avg_ns,50000,50K,10000,50000,,1974.0,3152.0,0.626269035532995
build_then_reinsert_existing,insert_avg_ns,100000,100K,20000,100000,,2154.0,3718.0,0.5793437331898871
build_then_reinsert_existing,insert_avg_ns,200000,200K,40000,200000,,2474.0,4062.0,0.6090595765632694
build_then_reinsert_existing,insert_avg_ns,300000,300K,60000,300000,,2894.0,4300.0,0.6730232558139535
build_then_reinsert_existing,insert_avg_ns,500000,500K,100000,500000,,3228.0,4746.0,0.6801517067003793
build_then_reinsert_existing,insert_avg_ns,700000,700K,140000,700000,,3382.0,5074.0,0.6665352778872684
build_then_reinsert_existing,insert_avg_ns,900000,900K,180000,900000,,3597.0,5349.0,0.6724621424565339
build_then_reinsert_existing,insert_avg_ns,1000000,1M,200000,1000000,,3668.0,5452.0,0.6727806309611152
build_then_reinsert_existing,insert_avg_ns,2000000,2M,400000,2000000,,4251.0,5970.0,0.7120603015075377
build_then_reinsert_existing,insert_avg_ns,5000000,5M,1000000,5000000,,5124.0,6878.0,0.7449840069787729
build_then_reinsert_existing,insert_avg_ns,10000000,10M,2000000,10000000,,5916.0,7741.0,0.7642423459501356
build_then_reinsert_existing,insert_avg_ns,25000000,25M,5000000,25000000,,7053.0,9280.0,0.7600215517241379
