tree_type,scenario_family,scale_size,scale_label,prebuild_scale,measured_insert_scale,final_scale,metric,default_value,ordered_value,ordered_over_default_ratio
avlhashtree,insert_only_build,10000,10K,0,10000,10000,insert_avg_ns,2272,1952,0.8591549295774648
avlhashtree,insert_only_build,50000,50K,0,50000,50000,insert_avg_ns,2494,2224,0.8917401764234162
avlhashtree,insert_only_build,100000,100K,0,100000,100000,insert_avg_ns,2519,2307,0.9158396188963874
avlhashtree,insert_only_build,200000,200K,0,200000,200000,insert_avg_ns,2719,2413,0.8874586244942994
avlhashtree,insert_only_build,300000,300K,0,300000,300000,insert_avg_ns,2947,2480,0.841533763148965
avlhashtree,insert_only_build,500000,500K,0,500000,500000,insert_avg_ns,3226,2562,0.7941723496590205
avlhashtree,insert_only_build,700000,700K,0,700000,700000,insert_avg_ns,3451,2620,0.7592002318168647
avlhashtree,insert_only_build,900000,900K,0,900000,900000,insert_avg_ns,3704,2656,0.7170626349892009
avlhashtree,insert_only_build,1000000,1M,0,1000000,1000000,insert_avg_ns,3758,2672,0.711016498137307
avlhashtree,insert_only_build,2000000,2M,0,2000000,2000000,insert_avg_ns,4410,2786,0.6317460317460317
avlhashtree,insert_only_build,5000000,5M,0,5000000,5000000,insert_avg_ns,5332,2936,0.5506376594148538
avlhashtree,insert_only_build,10000000,10M,0,10000000,10000000,insert_avg_ns,6090,3040,0.49917898193760263
avlhashtree,insert_only_build,25000000,25M,0,25000000,25000000,insert_avg_ns,7212,3246,0.45008319467554075
smt,insert_only_build,10000,10K,0,10000,10000,insert_avg_ns,2428,1504,0.6194398682042833
smt,insert_only_build,50000,50K,0,50000,50000,insert_avg_ns,2654,1580,0.5953278070836473
smt,insert_only_build,100000,100K,0,100000,100000,insert_avg_ns,2900,1602,0.5524137931034483
smt,insert_only_build,200000,200K,0,200000,200000,insert_avg_ns,3226,1652,0.5120892746435214
smt,insert_only_build,300000,300K,0,300000,300000,insert_avg_ns,3474,1689,0.48618307426597585
smt,insert_only_build,500000,500K,0,500000,500000,insert_avg_ns,4101,1838,0.4481833699097781
smt,insert_only_build,700000,700K,0,700000,700000,insert_avg_ns,4337,1862,0.42932902928291444
smt,insert_only_build,900000,900K,0,900000,900000,insert_avg_ns,4510,1880,0.41685144124168516
smt,insert_only_build,1000000,1M,0,1000000,1000000,insert_avg_ns,4609,1896,0.41136906053373834
smt,insert_only_build,2000000,2M,0,2000000,2000000,insert_avg_ns,5180,1940,0.3745173745173745
smt,insert_only_build,5000000,5M,0,5000000,5000000,insert_avg_ns,6014,2024,0.33654805453940806
smt,insert_only_build,10000000,10M,0,10000000,10000000,insert_avg_ns,6812,2084,0.3059307105108632
smt,insert_only_build,25000000,25M,0,25000000,25000000,insert_avg_ns,8200,2264,0.2760975609756098
avlhashtree,insert_only_build,10000,10K,0,10000,10000,insert_total_alloc_mb,2.93,2.91,0.9931740614334471
avlhashtree,insert_only_build,50000,50K,0,50000,50000,insert_total_alloc_mb,14.56,14.53,0.9979395604395603
avlhashtree,insert_only_build,100000,100K,0,100000,100000,insert_total_alloc_mb,29.05,29.03,0.9993115318416523
avlhashtree,insert_only_build,200000,200K,0,200000,200000,insert_total_alloc_mb,58.03,58.025000000000006,0.9999138376701707
avlhashtree,insert_only_build,300000,300K,0,300000,300000,insert_total_alloc_mb,87.04,87.01,0.9996553308823529
avlhashtree,insert_only_build,500000,500K,0,500000,500000,insert_total_alloc_mb,145.04500000000002,145.02,0.9998276396980247
avlhashtree,insert_only_build,700000,700K,0,700000,700000,insert_total_alloc_mb,203.06,203.03,0.9998522604156407
avlhashtree,insert_only_build,900000,900K,0,900000,900000,insert_total_alloc_mb,261.07,261.03,0.999846784387329
avlhashtree,insert_only_build,1000000,1M,0,1000000,1000000,insert_total_alloc_mb,290.08,290.04,0.9998621070049643
avlhashtree,insert_only_build,2000000,2M,0,2000000,2000000,insert_total_alloc_mb,580.19,580.04,0.9997414640031712
avlhashtree,insert_only_build,5000000,5M,0,5000000,5000000,insert_total_alloc_mb,1450.52,1450.05,0.9996759782698619
avlhashtree,insert_only_build,10000000,10M,0,10000000,10000000,insert_total_alloc_mb,2901.215,2900.02,0.9995881036048689
avlhashtree,insert_only_build,25000000,25M,0,25000000,25000000,insert_total_alloc_mb,7254.225,7249.695,0.9993755363253827
smt,insert_only_build,10000,10K,0,10000,10000,insert_total_alloc_mb,6.88,6.73,0.9781976744186047
smt,insert_only_build,50000,50K,0,50000,50000,insert_total_alloc_mb,34.305,33.57,0.9785745518146043
smt,insert_only_build,100000,100K,0,100000,100000,insert_total_alloc_mb,68.52,67.18,0.9804436660828957
smt,insert_only_build,200000,200K,0,200000,200000,insert_total_alloc_mb,137.03,134.32,0.980223308764504
smt,insert_only_build,300000,300K,0,300000,300000,insert_total_alloc_mb,205.54,201.44,0.9800525445168824
smt,insert_only_build,500000,500K,0,500000,500000,insert_total_alloc_mb,342.56,335.73,0.9800618869687062
smt,insert_only_build,700000,700K,0,700000,700000,insert_total_alloc_mb,479.55,470.01,0.9801063497028464
smt,insert_only_build,900000,900K,0,900000,900000,insert_total_alloc_mb,616.58,604.28,0.9800512504460085
smt,insert_only_build,1000000,1M,0,1000000,1000000,insert_total_alloc_mb,685.08,671.44,0.9800899165061014
smt,insert_only_build,2000000,2M,0,2000000,2000000,insert_total_alloc_mb,1370.2150000000001,1342.88,0.9800505760044956
smt,insert_only_build,5000000,5M,0,5000000,5000000,insert_total_alloc_mb,3425.54,3357.28,0.9800732147340274
smt,insert_only_build,10000000,10M,0,10000000,10000000,insert_total_alloc_mb,6851.325,6714.54,0.9800352486562819
smt,insert_only_build,25000000,25M,0,25000000,25000000,insert_total_alloc_mb,17129.59,16786.18,0.9799522347003051
