tree_type,is_ordered_prehashed,prebuild_elements,insert_elements,scale_size,scale_label,new_insert_avg_ns,reinsert_avg_ns,reinsert_to_new_ratio,new_insert_total_alloc_mb,reinsert_total_alloc_mb,new_net_live_heap_object_change,reinsert_net_live_heap_object_change
avlhashtree,False,10000,2000,10000,10K,2179,1635,0.7503441945846718,0.59,0.29,15040,11040
avlhashtree,False,50000,10000,50000,50K,2574,1974,0.7668997668997669,2.91,1.39,75038,55038
avlhashtree,False,100000,20000,100000,100K,2932,2154,0.7346521145975443,5.81,2.76,150040,110040
avlhashtree,False,200000,40000,200000,200K,3189,2474,0.7757917842583882,11.63,5.51,300045,220039
avlhashtree,False,300000,60000,300000,300K,3746,2894,0.7725573945541911,17.425,8.27,450048,330047
avlhashtree,False,500000,100000,500000,500K,4156,3228,0.7767083734359962,29.03,13.76,750052,550049
avlhashtree,False,700000,140000,700000,700K,4542,3382,0.7446059004843681,40.63,19.26,1050053,770049
avlhashtree,False,900000,180000,900000,900K,4859,3597,0.740275776908829,52.23,24.76,1350054,990054
avlhashtree,False,1000000,200000,1000000,1M,5051,3668,0.7261928331023559,58.03,27.51,1500053,1100052
avlhashtree,False,2000000,400000,2000000,2M,5669,4251,0.7498677015346622,116.06,55.01,3000061,2200058
avlhashtree,False,5000000,1000000,5000000,5M,6603,5124,0.7760109041344844,290.16,137.52,7500084,5500074
avlhashtree,False,10000000,2000000,10000000,10M,7322,5916,0.8079759628516798,580.35,275.065,15000118,11000105
avlhashtree,False,25000000,5000000,25000000,25M,8673,7053,0.813213420961605,1451.17,687.84,37500254,27500203
smt,False,10000,2000,10000,10K,2468,2351,0.9525931928687196,1.39,0.27,33486,9037
smt,False,50000,10000,50000,50K,3307,3152,0.9531297248261263,6.87,1.31,167285,45037
smt,False,100000,20000,100000,100K,3822,3718,0.9727891156462585,13.72,2.61,334544,90037
smt,False,200000,40000,200000,200K,4517,4062,0.8992694266105823,27.43,5.22,668996,180044
smt,False,300000,60000,300000,300K,4687,4300,0.9174311926605505,41.13,7.81,1003452,270046
smt,False,500000,100000,500000,500K,5248,4746,0.9043445121951219,68.51,13.01,1671925,450048
smt,False,700000,140000,700000,700K,5742,5074,0.8836642284918147,95.94,18.2,2341208,630051
smt,False,900000,180000,900000,900K,5688,5349,0.9404008438818565,123.33,23.4,3009846,810052
smt,False,1000000,200000,1000000,1M,5950,5452,0.9163025210084034,137.04,25.99,3344460,900052
smt,False,2000000,400000,2000000,2M,6560,5970,0.9100609756097561,274.08,51.98,6688824,1800061
smt,False,5000000,1000000,5000000,5M,7364,6878,0.9340032590983162,685.2,129.95,16722189,4500079
smt,False,10000000,2000000,10000000,10M,8344,7741,0.927732502396932,1370.35,259.92,33442718,9000114
smt,False,25000000,5000000,25000000,25M,10202,9280,0.9096255636149775,3426.2650000000003,650.125,83606858,22500255
