TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
avlhashtree,build_10k,0,10000,10000,23871756,2387,"0-10%=1.816µs(n=1000)|10-20%=2.098µs(n=1000)|20-30%=2.196µs(n=1000)|30-40%=2.273µs(n=1000)|40-50%=2.35µs(n=1000)|50-60%=2.382µs(n=1000)|60-70%=3.231µs(n=1000)|70-80%=2.496µs(n=1000)|80-90%=2.478µs(n=1000)|90-100%=2.546µs(n=1000)",2.58,3.23,61485,54933,549,"0-10%=587ns(n=10)|10-20%=466ns(n=10)|20-30%=480ns(n=10)|30-40%=739ns(n=10)|40-50%=525ns(n=10)|50-60%=409ns(n=10)|60-70%=629ns(n=10)|70-80%=425ns(n=10)|80-90%=795ns(n=10)|90-100%=432ns(n=10)",1564,3422,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_50k,0,50000,50000,130016530,2600,"0-10%=2.199µs(n=5000)|10-20%=2.564µs(n=5000)|20-30%=2.605µs(n=5000)|30-40%=2.796µs(n=5000)|40-50%=2.703µs(n=5000)|50-60%=2.683µs(n=5000)|60-70%=2.893µs(n=5000)|70-80%=2.462µs(n=5000)|80-90%=2.531µs(n=5000)|90-100%=2.562µs(n=5000)",13.11,16.09,313206,604910,1209,"0-10%=446ns(n=50)|10-20%=523ns(n=50)|20-30%=585ns(n=50)|30-40%=492ns(n=50)|40-50%=588ns(n=50)|50-60%=474ns(n=50)|60-70%=501ns(n=50)|70-80%=674ns(n=50)|80-90%=6.911µs(n=50)|90-100%=898ns(n=50)",1850,5395,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_100k,0,100000,100000,257488622,2574,"0-10%=2.094µs(n=10000)|10-20%=2.427µs(n=10000)|20-30%=2.496µs(n=10000)|30-40%=2.589µs(n=10000)|40-50%=2.556µs(n=10000)|50-60%=2.689µs(n=10000)|60-70%=2.592µs(n=10000)|70-80%=2.666µs(n=10000)|80-90%=2.71µs(n=10000)|90-100%=2.925µs(n=10000)",23.18,32.09,512476,747116,747,"0-10%=471ns(n=100)|10-20%=683ns(n=100)|20-30%=635ns(n=100)|30-40%=785ns(n=100)|40-50%=696ns(n=100)|50-60%=774ns(n=100)|60-70%=738ns(n=100)|70-80%=900ns(n=100)|80-90%=833ns(n=100)|90-100%=950ns(n=100)",1978,4531,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_200k,0,200000,200000,560809396,2804,"0-10%=2.247µs(n=20000)|10-20%=2.494µs(n=20000)|20-30%=2.631µs(n=20000)|30-40%=2.962µs(n=20000)|40-50%=2.856µs(n=20000)|50-60%=2.882µs(n=20000)|60-70%=2.882µs(n=20000)|70-80%=2.957µs(n=20000)|80-90%=3.101µs(n=20000)|90-100%=3.024µs(n=20000)",47.69,64.14,1075534,1599215,799,"0-10%=604ns(n=200)|10-20%=721ns(n=200)|20-30%=718ns(n=200)|30-40%=743ns(n=200)|40-50%=866ns(n=200)|50-60%=745ns(n=200)|60-70%=819ns(n=200)|70-80%=850ns(n=200)|80-90%=864ns(n=200)|90-100%=1.062µs(n=200)",2097,4846,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_300k,0,300000,300000,889438469,2964,"0-10%=2.314µs(n=30000)|10-20%=2.617µs(n=30000)|20-30%=2.66µs(n=30000)|30-40%=2.891µs(n=30000)|40-50%=3.009µs(n=30000)|50-60%=3.154µs(n=30000)|60-70%=2.997µs(n=30000)|70-80%=3.182µs(n=30000)|80-90%=3.48µs(n=30000)|90-100%=3.341µs(n=30000)",79.79,96.20,1926951,3275471,1091,"0-10%=971ns(n=300)|10-20%=1.703µs(n=300)|20-30%=791ns(n=300)|30-40%=844ns(n=300)|40-50%=955ns(n=300)|50-60%=1.092µs(n=300)|60-70%=1.164µs(n=300)|70-80%=1.19µs(n=300)|80-90%=1.155µs(n=300)|90-100%=1.047µs(n=300)",2173,5726,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_500k,0,500000,500000,1623682299,3247,"0-10%=2.394µs(n=50000)|10-20%=2.735µs(n=50000)|20-30%=2.944µs(n=50000)|30-40%=3.113µs(n=50000)|40-50%=3.218µs(n=50000)|50-60%=3.441µs(n=50000)|60-70%=3.403µs(n=50000)|70-80%=3.511µs(n=50000)|80-90%=3.642µs(n=50000)|90-100%=4.069µs(n=50000)",115.92,160.31,2559629,5722629,1144,"0-10%=809ns(n=500)|10-20%=964ns(n=500)|20-30%=1.118µs(n=500)|30-40%=1.135µs(n=500)|40-50%=1.119µs(n=500)|50-60%=1.171µs(n=500)|60-70%=1.228µs(n=500)|70-80%=1.186µs(n=500)|80-90%=1.269µs(n=500)|90-100%=1.441µs(n=500)",2257,5315,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_700k,0,700000,700000,2445642105,3493,"0-10%=2.534µs(n=70000)|10-20%=2.91µs(n=70000)|20-30%=3.097µs(n=70000)|30-40%=3.183µs(n=70000)|40-50%=3.422µs(n=70000)|50-60%=3.521µs(n=70000)|60-70%=3.764µs(n=70000)|70-80%=4.246µs(n=70000)|80-90%=4.121µs(n=70000)|90-100%=4.135µs(n=70000)",177.76,224.43,4173358,9674844,1382,"0-10%=865ns(n=700)|10-20%=1.097µs(n=700)|20-30%=1.091µs(n=700)|30-40%=1.208µs(n=700)|40-50%=1.28µs(n=700)|50-60%=1.212µs(n=700)|60-70%=1.329µs(n=700)|70-80%=1.382µs(n=700)|80-90%=1.763µs(n=700)|90-100%=2.591µs(n=700)",2320,5818,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_900k,0,900000,900000,3407979766,3786,"0-10%=2.612µs(n=90000)|10-20%=2.983µs(n=90000)|20-30%=3.105µs(n=90000)|30-40%=3.504µs(n=90000)|40-50%=3.551µs(n=90000)|50-60%=4.496µs(n=90000)|60-70%=4.446µs(n=90000)|70-80%=4.188µs(n=90000)|80-90%=4.286µs(n=90000)|90-100%=4.69µs(n=90000)",213.12,288.54,4778983,11917593,1324,"0-10%=950ns(n=900)|10-20%=1.156µs(n=900)|20-30%=1.207µs(n=900)|30-40%=1.286µs(n=900)|40-50%=1.303µs(n=900)|50-60%=1.403µs(n=900)|60-70%=1.422µs(n=900)|70-80%=1.47µs(n=900)|80-90%=1.454µs(n=900)|90-100%=1.586µs(n=900)",2363,5350,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_1m,0,1000000,1000000,3812923622,3812,"0-10%=2.582µs(n=100000)|10-20%=3.026µs(n=100000)|20-30%=3.195µs(n=100000)|30-40%=3.421µs(n=100000)|40-50%=3.759µs(n=100000)|50-60%=4.546µs(n=100000)|60-70%=4.406µs(n=100000)|70-80%=4.152µs(n=100000)|80-90%=4.508µs(n=100000)|90-100%=4.529µs(n=100000)",241.06,320.60,5471394,13737928,1373,"0-10%=943ns(n=1000)|10-20%=1.144µs(n=1000)|20-30%=1.242µs(n=1000)|30-40%=1.336µs(n=1000)|40-50%=1.344µs(n=1000)|50-60%=1.442µs(n=1000)|60-70%=1.502µs(n=1000)|70-80%=1.49µs(n=1000)|80-90%=1.626µs(n=1000)|90-100%=1.662µs(n=1000)",2382,5231,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_2m,0,2000000,2000000,8764871204,4382,"0-10%=2.852µs(n=200000)|10-20%=3.439µs(n=200000)|20-30%=4.431µs(n=200000)|30-40%=4.118µs(n=200000)|40-50%=4.566µs(n=200000)|50-60%=4.499µs(n=200000)|60-70%=4.681µs(n=200000)|70-80%=5.11µs(n=200000)|80-90%=5.037µs(n=200000)|90-100%=5.086µs(n=200000)",506.91,641.18,11889187,48372677,2418,"0-10%=1.687µs(n=2000)|10-20%=1.894µs(n=2000)|20-30%=2.094µs(n=2000)|30-40%=2.141µs(n=2000)|40-50%=2.438µs(n=2000)|50-60%=2.332µs(n=2000)|60-70%=2.654µs(n=2000)|70-80%=2.589µs(n=2000)|80-90%=2.701µs(n=2000)|90-100%=3.65µs(n=2000)",2495,8583,0,0,"",0,0,0,0,0,0.00,0.00,0
