TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
smt,build_10k,0,10000,10000,23215387,2321,"0-10%=2.042µs(n=1000)|10-20%=1.898µs(n=1000)|20-30%=2.005µs(n=1000)|30-40%=2.573µs(n=1000)|40-50%=2.23µs(n=1000)|50-60%=2.275µs(n=1000)|60-70%=3.278µs(n=1000)|70-80%=2.277µs(n=1000)|80-90%=2.299µs(n=1000)|90-100%=2.331µs(n=1000)",5.74,7.18,133038,232028,2320,"0-10%=2.879µs(n=10)|10-20%=2.393µs(n=10)|20-30%=1.943µs(n=10)|30-40%=2.303µs(n=10)|40-50%=2.564µs(n=10)|50-60%=2.168µs(n=10)|60-70%=2.389µs(n=10)|70-80%=2.145µs(n=10)|80-90%=2.215µs(n=10)|90-100%=2.198µs(n=10)",631,3028,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_50k,0,50000,50000,141897008,2837,"0-10%=2.406µs(n=5000)|10-20%=2.665µs(n=5000)|20-30%=2.825µs(n=5000)|30-40%=2.59µs(n=5000)|40-50%=2.982µs(n=5000)|50-60%=2.888µs(n=5000)|60-70%=3.079µs(n=5000)|70-80%=3.144µs(n=5000)|80-90%=2.682µs(n=5000)|90-100%=3.113µs(n=5000)",27.92,35.83,636710,2455320,4910,"0-10%=5.417µs(n=50)|10-20%=4.645µs(n=50)|20-30%=5.179µs(n=50)|30-40%=4.104µs(n=50)|40-50%=4.731µs(n=50)|50-60%=5.814µs(n=50)|60-70%=4.763µs(n=50)|70-80%=4.993µs(n=50)|80-90%=5.268µs(n=50)|90-100%=4.187µs(n=50)",722,5025,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_100k,0,100000,100000,299282295,2992,"0-10%=2.401µs(n=10000)|10-20%=2.54µs(n=10000)|20-30%=2.69µs(n=10000)|30-40%=2.915µs(n=10000)|40-50%=3.245µs(n=10000)|50-60%=2.984µs(n=10000)|60-70%=3.325µs(n=10000)|70-80%=3.375µs(n=10000)|80-90%=3.262µs(n=10000)|90-100%=3.187µs(n=10000)",54.39,71.57,1229456,4591287,4591,"0-10%=3.979µs(n=100)|10-20%=4.175µs(n=100)|20-30%=4.301µs(n=100)|30-40%=4.481µs(n=100)|40-50%=5.206µs(n=100)|50-60%=4.223µs(n=100)|60-70%=4.913µs(n=100)|70-80%=4.696µs(n=100)|80-90%=5.874µs(n=100)|90-100%=4.059µs(n=100)",759,5464,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_200k,0,200000,200000,641905674,3209,"0-10%=2.399µs(n=20000)|10-20%=2.669µs(n=20000)|20-30%=2.813µs(n=20000)|30-40%=2.863µs(n=20000)|40-50%=3.044µs(n=20000)|50-60%=3.423µs(n=20000)|60-70%=3.743µs(n=20000)|70-80%=3.528µs(n=20000)|80-90%=3.721µs(n=20000)|90-100%=3.886µs(n=20000)",113.72,143.11,2615291,10426492,5213,"0-10%=4.832µs(n=200)|10-20%=4.646µs(n=200)|20-30%=4.716µs(n=200)|30-40%=5.493µs(n=200)|40-50%=5.614µs(n=200)|50-60%=5.32µs(n=200)|60-70%=5.234µs(n=200)|70-80%=5.376µs(n=200)|80-90%=5.776µs(n=200)|90-100%=5.12µs(n=200)",796,5521,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_300k,0,300000,300000,1045386961,3484,"0-10%=2.517µs(n=30000)|10-20%=2.892µs(n=30000)|20-30%=3.082µs(n=30000)|30-40%=3.15µs(n=30000)|40-50%=3.404µs(n=30000)|50-60%=3.384µs(n=30000)|60-70%=3.444µs(n=30000)|70-80%=4.104µs(n=30000)|80-90%=4.396µs(n=30000)|90-100%=4.467µs(n=30000)",165.23,214.69,3751304,17852222,5950,"0-10%=5.771µs(n=300)|10-20%=6.244µs(n=300)|20-30%=5.659µs(n=300)|30-40%=5.669µs(n=300)|40-50%=6.022µs(n=300)|50-60%=5.831µs(n=300)|60-70%=5.955µs(n=300)|70-80%=6.476µs(n=300)|80-90%=5.736µs(n=300)|90-100%=6.14µs(n=300)",819,5768,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_500k,0,500000,500000,1955140269,3910,"0-10%=2.575µs(n=50000)|10-20%=2.96µs(n=50000)|20-30%=3.231µs(n=50000)|30-40%=3.453µs(n=50000)|40-50%=3.933µs(n=50000)|50-60%=4.113µs(n=50000)|60-70%=4.435µs(n=50000)|70-80%=4.792µs(n=50000)|80-90%=4.838µs(n=50000)|90-100%=4.769µs(n=50000)",275.06,357.80,6242214,29919883,5983,"0-10%=5.689µs(n=500)|10-20%=6.101µs(n=500)|20-30%=5.947µs(n=500)|30-40%=6.525µs(n=500)|40-50%=6.02µs(n=500)|50-60%=6.04µs(n=500)|60-70%=6.127µs(n=500)|70-80%=5.969µs(n=500)|80-90%=5.988µs(n=500)|90-100%=5.429µs(n=500)",846,5929,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_700k,0,700000,700000,2920445974,4172,"0-10%=2.679µs(n=70000)|10-20%=3.306µs(n=70000)|20-30%=3.522µs(n=70000)|30-40%=4.062µs(n=70000)|40-50%=4.004µs(n=70000)|50-60%=4.527µs(n=70000)|60-70%=4.614µs(n=70000)|70-80%=4.56µs(n=70000)|80-90%=4.917µs(n=70000)|90-100%=5.524µs(n=70000)",359.37,500.94,7922352,42799014,6114,"0-10%=6.175µs(n=700)|10-20%=6.213µs(n=700)|20-30%=5.923µs(n=700)|30-40%=5.941µs(n=700)|40-50%=5.961µs(n=700)|50-60%=6.286µs(n=700)|60-70%=6.022µs(n=700)|70-80%=6.478µs(n=700)|80-90%=6.132µs(n=700)|90-100%=6.005µs(n=700)",866,6283,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_900k,0,900000,900000,3943652453,4381,"0-10%=2.834µs(n=90000)|10-20%=3.45µs(n=90000)|20-30%=3.928µs(n=90000)|30-40%=4.171µs(n=90000)|40-50%=4.698µs(n=90000)|50-60%=4.47µs(n=90000)|60-70%=4.493µs(n=90000)|70-80%=5.356µs(n=90000)|80-90%=5.086µs(n=90000)|90-100%=5.325µs(n=90000)",504.38,644.07,11530176,57236051,6359,"0-10%=6.117µs(n=900)|10-20%=6.318µs(n=900)|20-30%=6.069µs(n=900)|30-40%=6.193µs(n=900)|40-50%=6.288µs(n=900)|50-60%=6.6µs(n=900)|60-70%=6.412µs(n=900)|70-80%=6.478µs(n=900)|80-90%=6.793µs(n=900)|90-100%=6.322µs(n=900)",879,6253,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_1m,0,1000000,1000000,4522690345,4522,"0-10%=2.787µs(n=100000)|10-20%=3.745µs(n=100000)|20-30%=4.548µs(n=100000)|30-40%=4.404µs(n=100000)|40-50%=4.636µs(n=100000)|50-60%=4.641µs(n=100000)|60-70%=5.284µs(n=100000)|70-80%=5.123µs(n=100000)|80-90%=4.873µs(n=100000)|90-100%=5.181µs(n=100000)",576.37,715.64,13315531,68450142,6845,"0-10%=5.307µs(n=1000)|10-20%=5.757µs(n=1000)|20-30%=6.091µs(n=1000)|30-40%=6.134µs(n=1000)|40-50%=6.328µs(n=1000)|50-60%=6.1µs(n=1000)|60-70%=6.112µs(n=1000)|70-80%=6.454µs(n=1000)|80-90%=8.921µs(n=1000)|90-100%=11.241µs(n=1000)",884,6928,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_2m,0,2000000,2000000,11043503494,5521,"0-10%=3.362µs(n=200000)|10-20%=4.473µs(n=200000)|20-30%=4.813µs(n=200000)|30-40%=5.362µs(n=200000)|40-50%=5.542µs(n=200000)|50-60%=6.426µs(n=200000)|60-70%=5.919µs(n=200000)|70-80%=6.144µs(n=200000)|80-90%=6.61µs(n=200000)|90-100%=6.561µs(n=200000)",1058.68,1431.27,23645334,139133992,6956,"0-10%=6.806µs(n=2000)|10-20%=7.147µs(n=2000)|20-30%=6.82µs(n=2000)|30-40%=6.965µs(n=2000)|40-50%=6.676µs(n=2000)|50-60%=7.115µs(n=2000)|60-70%=7.12µs(n=2000)|70-80%=6.698µs(n=2000)|80-90%=7.209µs(n=2000)|90-100%=7.005µs(n=2000)",923,5991,0,0,"",0,0,0,0,0,0.00,0.00,0
