TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
avlhashtree,insert_only_build_10k,0,10000,10000,22818773,2281,"0-10%=1.764µs(n=1000)|10-20%=1.964µs(n=1000)|20-30%=2.078µs(n=1000)|30-40%=2.158µs(n=1000)|40-50%=2.258µs(n=1000)|50-60%=2.22µs(n=1000)|60-70%=2.311µs(n=1000)|70-80%=3.224µs(n=1000)|80-90%=2.381µs(n=1000)|90-100%=2.455µs(n=1000)",2.44,2.93,56244,80066,24306,55760,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_50k,0,50000,50000,126117370,2522,"0-10%=2.017µs(n=5000)|10-20%=2.484µs(n=5000)|20-30%=2.469µs(n=5000)|30-40%=2.745µs(n=5000)|40-50%=2.606µs(n=5000)|50-60%=2.648µs(n=5000)|60-70%=2.625µs(n=5000)|70-80%=2.647µs(n=5000)|80-90%=2.468µs(n=5000)|90-100%=2.51µs(n=5000)",12.22,14.56,280670,400099,119919,280180,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_100k,0,100000,100000,277379083,2773,"0-10%=3.042µs(n=10000)|10-20%=2.77µs(n=10000)|20-30%=2.779µs(n=10000)|30-40%=3.145µs(n=10000)|40-50%=2.544µs(n=10000)|50-60%=2.624µs(n=10000)|60-70%=2.68µs(n=10000)|70-80%=2.731µs(n=10000)|80-90%=2.674µs(n=10000)|90-100%=2.743µs(n=10000)",24.66,29.04,572243,800086,228374,571712,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_200k,0,200000,200000,554650987,2773,"0-10%=2.149µs(n=20000)|10-20%=2.425µs(n=20000)|20-30%=2.505µs(n=20000)|30-40%=2.704µs(n=20000)|40-50%=2.788µs(n=20000)|50-60%=2.898µs(n=20000)|60-70%=3.026µs(n=20000)|70-80%=2.974µs(n=20000)|80-90%=3.077µs(n=20000)|90-100%=3.183µs(n=20000)",50.05,58.04,1174650,1600095,425991,1174104,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_300k,0,300000,300000,886985574,2956,"0-10%=2.253µs(n=30000)|10-20%=2.51µs(n=30000)|20-30%=2.666µs(n=30000)|30-40%=2.753µs(n=30000)|40-50%=2.942µs(n=30000)|50-60%=2.991µs(n=30000)|60-70%=3.044µs(n=30000)|70-80%=3.224µs(n=30000)|80-90%=3.403µs(n=30000)|90-100%=3.775µs(n=30000)",72.58,87.04,1659742,2400097,740917,1659180,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_500k,0,500000,500000,1578504622,3157,"0-10%=2.376µs(n=50000)|10-20%=2.653µs(n=50000)|20-30%=2.866µs(n=50000)|30-40%=2.965µs(n=50000)|40-50%=3.214µs(n=50000)|50-60%=3.205µs(n=50000)|60-70%=3.342µs(n=50000)|70-80%=3.437µs(n=50000)|80-90%=3.72µs(n=50000)|90-100%=3.787µs(n=50000)",119.27,145.04,2696630,4000114,1304056,2696058,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_700k,0,700000,700000,2426422492,3466,"0-10%=2.416µs(n=70000)|10-20%=2.892µs(n=70000)|20-30%=3.011µs(n=70000)|30-40%=3.293µs(n=70000)|40-50%=3.504µs(n=70000)|50-60%=3.733µs(n=70000)|60-70%=3.716µs(n=70000)|70-80%=3.884µs(n=70000)|80-90%=4.127µs(n=70000)|90-100%=4.082µs(n=70000)",178.14,203.06,4231464,5600121,1369237,4230884,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_900k,0,900000,900000,3505198719,3894,"0-10%=2.481µs(n=90000)|10-20%=3.138µs(n=90000)|20-30%=3.553µs(n=90000)|30-40%=3.9µs(n=90000)|40-50%=4.383µs(n=90000)|50-60%=4.187µs(n=90000)|60-70%=3.999µs(n=90000)|70-80%=4.161µs(n=90000)|80-90%=4.561µs(n=90000)|90-100%=4.578µs(n=90000)",216.00,261.07,4906297,7200146,2294437,4905709,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_1m,0,1000000,1000000,3754113845,3754,"0-10%=2.528µs(n=100000)|10-20%=2.978µs(n=100000)|20-30%=3.211µs(n=100000)|30-40%=3.409µs(n=100000)|40-50%=3.958µs(n=100000)|50-60%=4.131µs(n=100000)|60-70%=4.189µs(n=100000)|70-80%=4.386µs(n=100000)|80-90%=4.285µs(n=100000)|90-100%=4.46µs(n=100000)",244.84,290.08,5649784,8000148,2350954,5649194,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,insert_only_build_2m,0,2000000,2000000,8824154646,4412,"0-10%=2.742µs(n=200000)|10-20%=3.338µs(n=200000)|20-30%=4.001µs(n=200000)|30-40%=4.225µs(n=200000)|40-50%=4.364µs(n=200000)|50-60%=4.621µs(n=200000)|60-70%=4.892µs(n=200000)|70-80%=5.094µs(n=200000)|80-90%=5.648µs(n=200000)|90-100%=5.193µs(n=200000)",500.20,580.19,11726715,16000160,4274039,11726121,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
