TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
smt,insert_only_build_10k,0,10000,10000,23312510,2331,"0-10%=1.73µs(n=1000)|10-20%=2.032µs(n=1000)|20-30%=2.076µs(n=1000)|30-40%=2.87µs(n=1000)|40-50%=2.254µs(n=1000)|50-60%=2.394µs(n=1000)|60-70%=2.416µs(n=1000)|70-80%=3.009µs(n=1000)|80-90%=2.288µs(n=1000)|90-100%=2.239µs(n=1000)",5.56,6.88,127052,180040,53524,126516,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_50k,0,50000,50000,134464482,2689,"0-10%=2.261µs(n=5000)|10-20%=2.628µs(n=5000)|20-30%=2.578µs(n=5000)|30-40%=2.8µs(n=5000)|40-50%=2.626µs(n=5000)|50-60%=2.751µs(n=5000)|60-70%=2.517µs(n=5000)|70-80%=2.647µs(n=5000)|80-90%=2.981µs(n=5000)|90-100%=3.099µs(n=5000)",29.03,34.31,670858,900070,229752,670318,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_100k,0,100000,100000,286180807,2861,"0-10%=2.509µs(n=10000)|10-20%=2.499µs(n=10000)|20-30%=2.619µs(n=10000)|30-40%=2.509µs(n=10000)|40-50%=2.787µs(n=10000)|50-60%=2.911µs(n=10000)|60-70%=2.979µs(n=10000)|70-80%=3.226µs(n=10000)|80-90%=3.263µs(n=10000)|90-100%=3.312µs(n=10000)",52.03,68.52,1153420,1800026,647206,1152820,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_200k,0,200000,200000,661768691,3308,"0-10%=2.355µs(n=20000)|10-20%=2.56µs(n=20000)|20-30%=2.714µs(n=20000)|30-40%=2.78µs(n=20000)|40-50%=3.157µs(n=20000)|50-60%=3.372µs(n=20000)|60-70%=3.667µs(n=20000)|70-80%=3.792µs(n=20000)|80-90%=4.245µs(n=20000)|90-100%=4.441µs(n=20000)",108.98,137.04,2460723,3600048,1139924,2460124,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_300k,0,300000,300000,1034132209,3447,"0-10%=2.465µs(n=30000)|10-20%=2.731µs(n=30000)|20-30%=2.912µs(n=30000)|30-40%=3.11µs(n=30000)|40-50%=3.177µs(n=30000)|50-60%=3.627µs(n=30000)|60-70%=3.718µs(n=30000)|70-80%=4.016µs(n=30000)|80-90%=4.304µs(n=30000)|90-100%=4.406µs(n=30000)",156.96,205.54,3485929,5400043,1914731,3485312,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_500k,0,500000,500000,2107536016,4215,"0-10%=2.47µs(n=50000)|10-20%=3.073µs(n=50000)|20-30%=3.458µs(n=50000)|30-40%=3.664µs(n=50000)|40-50%=3.765µs(n=50000)|50-60%=4.862µs(n=50000)|60-70%=5.295µs(n=50000)|70-80%=5.117µs(n=50000)|80-90%=5.1µs(n=50000)|90-100%=5.341µs(n=50000)",261.05,342.56,5791243,9000050,3209432,5790618,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_700k,0,700000,700000,2977015548,4252,"0-10%=2.612µs(n=70000)|10-20%=3.335µs(n=70000)|20-30%=3.822µs(n=70000)|30-40%=3.953µs(n=70000)|40-50%=4.485µs(n=70000)|50-60%=4.313µs(n=70000)|60-70%=4.842µs(n=70000)|70-80%=5.042µs(n=70000)|80-90%=5µs(n=70000)|90-100%=5.121µs(n=70000)",395.90,479.55,9068041,12600056,3532644,9067412,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_900k,0,900000,900000,3894382129,4327,"0-10%=2.703µs(n=90000)|10-20%=3.245µs(n=90000)|20-30%=3.794µs(n=90000)|30-40%=4.099µs(n=90000)|40-50%=4.121µs(n=90000)|50-60%=4.931µs(n=90000)|60-70%=4.561µs(n=90000)|70-80%=4.944µs(n=90000)|80-90%=5.391µs(n=90000)|90-100%=5.476µs(n=90000)",474.31,616.56,10563416,16200053,5637282,10562771,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_1m,0,1000000,1000000,4338674567,4338,"0-10%=2.699µs(n=100000)|10-20%=3.279µs(n=100000)|20-30%=3.911µs(n=100000)|30-40%=3.982µs(n=100000)|40-50%=4.556µs(n=100000)|50-60%=4.559µs(n=100000)|60-70%=4.473µs(n=100000)|70-80%=5.018µs(n=100000)|80-90%=5.553µs(n=100000)|90-100%=5.353µs(n=100000)",542.57,685.07,12227863,18000060,5772839,12227221,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_2m,0,2000000,2000000,10271938147,5135,"0-10%=3.092µs(n=200000)|10-20%=4.076µs(n=200000)|20-30%=4.652µs(n=200000)|30-40%=4.792µs(n=200000)|40-50%=5.572µs(n=200000)|50-60%=5.568µs(n=200000)|60-70%=5.922µs(n=200000)|70-80%=5.884µs(n=200000)|80-90%=5.854µs(n=200000)|90-100%=5.943µs(n=200000)",1123.77,1370.21,25670908,36000084,10329828,25670256,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_5m,0,5000000,5000000,30073546570,6014,"0-10%=3.761µs(n=500000)|10-20%=4.885µs(n=500000)|20-30%=5.486µs(n=500000)|30-40%=5.668µs(n=500000)|40-50%=6.394µs(n=500000)|50-60%=6.241µs(n=500000)|60-70%=6.604µs(n=500000)|70-80%=7.33µs(n=500000)|80-90%=6.982µs(n=500000)|90-100%=6.791µs(n=500000)",2789.26,3425.54,63539229,90000173,26461608,63538565,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
smt,insert_only_build_10m,0,10000000,10000000,67997348178,6799,"0-10%=4.401µs(n=1000000)|10-20%=5.612µs(n=1000000)|20-30%=6.13µs(n=1000000)|30-40%=6.485µs(n=1000000)|40-50%=7.498µs(n=1000000)|50-60%=7.071µs(n=1000000)|60-70%=7.524µs(n=1000000)|70-80%=7.692µs(n=1000000)|80-90%=7.744µs(n=1000000)|90-100%=7.834µs(n=1000000)",5588.73,6851.31,127392166,180000318,52608834,127391484,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
