TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
avlhashtree,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,419142,838,1672,5023,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1643748,657,1952,4884,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,3686041,737,2069,5080,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,12673885,1267,2189,5621,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,23514192,1567,2257,5679,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,50829934,2033,2347,6070,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,58143306,1661,2408,5865,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,82120112,1824,2452,6062,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,98248912,1964,2469,6484,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,159278863,2654,2590,8286,0,0,0,0.00,0.00,0,0,0,0
