TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
smt,exclusion_proof_only_after_10k_build_sample_5pct,10000,10000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,1430309,2860,593,7519,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_50k_build_sample_5pct,50000,50000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,7129608,2851,681,7774,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_100k_build_sample_5pct,100000,100000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,26273231,5254,718,11351,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_200k_build_sample_5pct,200000,200000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,54634394,5463,757,11336,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_300k_build_sample_5pct,300000,300000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,86239586,5749,779,12331,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_500k_build_sample_5pct,500000,500000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,145704610,5828,807,13271,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_700k_build_sample_5pct,700000,700000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,217338999,6209,825,12621,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_900k_build_sample_5pct,900000,900000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,222752993,4950,839,12553,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_1m_build_sample_5pct,1000000,1000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,234275707,4685,845,12508,0,0,0,0.00,0.00,0,0,0,0
smt,exclusion_proof_only_after_2m_build_sample_3pct,2000000,2000000,0,0,0,"",0.00,0.00,0,0,0,0,0,0,0,0,405328509,6755,883,13249,0,0,0,0.00,0.00,0,0,0,0
